monitoring_period,date,site,plot_id,treatment,replicate_number,tag_color,source_population,parent_number,observer,number_gravels_remaining,number_gravels_with_kelp,length_mm,holdfast_diameter_mm,urchins,notes
first,2023-04-04,Dixon,10C1,10C,1,green,cool,ten,Kristina Tietjen,20,13,56,NA,0,
first,2023-04-04,Dixon,10C1,10C,1,green,cool,ten,Kristina Tietjen,20,13,64,NA,0,
first,2023-04-04,Dixon,10C1,10C,1,green,cool,ten,Kristina Tietjen,20,13,76,NA,0,
first,2023-04-04,Dixon,10C1,10C,1,green,cool,ten,Kristina Tietjen,20,13,79,NA,0,
first,2023-04-04,Dixon,10C1,10C,1,green,cool,ten,Kristina Tietjen,20,13,129,NA,0,
first,2023-04-04,Dixon,10W1,10W,1,red,warm,ten,Siobhan Gray,19,7,16,NA,0,1 Astrea grazing on green gravel
first,2023-04-04,Dixon,10W1,10W,1,red,warm,ten,Siobhan Gray,19,7,17,NA,0,1 Astrea grazing on green gravel
first,2023-04-04,Dixon,10W1,10W,1,red,warm,ten,Siobhan Gray,19,7,21,NA,0,1 Astrea grazing on green gravel
first,2023-04-04,Dixon,10W1,10W,1,red,warm,ten,Siobhan Gray,19,7,34,NA,0,1 Astrea grazing on green gravel
first,2023-04-04,Dixon,10W1,10W,1,red,warm,ten,Siobhan Gray,19,7,41,NA,0,1 Astrea grazing on green gravel
first,2023-04-04,Dixon,2C1,2C,1,blue,cool,two,Clay Steell,20,12,48,NA,0,
first,2023-04-04,Dixon,2C1,2C,1,blue,cool,two,Clay Steell,20,12,53,NA,0,
first,2023-04-04,Dixon,2C1,2C,1,blue,cool,two,Clay Steell,20,12,63,NA,0,
first,2023-04-04,Dixon,2C1,2C,1,blue,cool,two,Clay Steell,20,12,83,NA,0,
first,2023-04-04,Dixon,2C1,2C,1,blue,cool,two,Clay Steell,20,12,114,NA,0,
first,2023-04-04,Dixon,2W1,2W,1,orange,warm,two,Lauren Dykman,20,15,55,NA,0,overshadowed by large kelp frond
first,2023-04-04,Dixon,2W1,2W,1,orange,warm,two,Lauren Dykman,20,15,65,NA,0,overshadowed by large kelp frond
