date,tank,parents,population,parent_number,gravel,length_mm,image_id,notes
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,1,5,9193,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,1,6,9193,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,1,4,9193,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,1,5,9193,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,1,5,9193,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,2,5,9194,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,2,6,9194,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,2,6,9194,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,2,7,9194,
2023-03-03,EKFull3,EK3x4x5x6x7x8x9x10x11x12,cool,ten,2,6,9194,
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,1,1.5,9195,had lower light conditions in tank and this stone has very tiny kelps
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,1,2,9195,had lower light conditions in tank and this stone has very tiny kelps
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,1,2,9195,had lower light conditions in tank and this stone has very tiny kelps
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,1,2,9195,had lower light conditions in tank and this stone has very tiny kelps
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,1,2,9195,had lower light conditions in tank and this stone has very tiny kelps
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,2,6,9196,
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,2,4,9196,
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,2,3,9196,
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,2,4,9196,
2023-03-03,DXFull3,DX2x4x6x8x9x10x11x13x14x15,warm,ten,2,4,9196,
2023-03-03,EK11x12,EK11x12,cool,two,1,4,9197,
2023-03-03,EK11x12,EK11x12,cool,two,1,4,9197,
2023-03-03,EK11x12,EK11x12,cool,two,1,5,9197,
2023-03-03,EK11x12,EK11x12,cool,two,1,4,9197,
2023-03-03,EK11x12,EK11x12,cool,two,1,4,9197,
2023-03-03,EK11x12,EK11x12,cool,two,2,6,9198,
2023-03-03,EK11x12,EK11x12,cool,two,2,6,9198,
2023-03-03,EK11x12,EK11x12,cool,two,2,4,9198,
2023-03-03,EK11x12,EK11x12,cool,two,2,5,9198,
2023-03-03,EK11x12,EK11x12,cool,two,2,5,9198,
2023-03-03,EK3x12,EK3x12,cool,two,1,5,9199,stringy diatoms on rocks
2023-03-03,EK3x12,EK3x12,cool,two,1,3,9199,stringy diatoms on rocks
2023-03-03,EK3x12,EK3x12,cool,two,1,3,9199,stringy diatoms on rocks
