site,date,time,location_within_site,depth_m,temp_C,salinity_ppt,spc_us_cm,spc_ms_cm,cond_us_cm,notes
EK,2023-03-07,2:45:00 PM,in between buoys,0,8.1,28,43825,43.85,29696,
EK,2023-03-07,2:45:00 PM,in between buoys,1,8.1,28,43870,43.86,29682,
EK,2023-03-07,2:45:00 PM,in between buoys,2,7.7,28.3,44250,44.24,29635,
EK,2023-03-07,2:45:00 PM,in between buoys,3,7.7,28.4,44398,44.4,29712,
EK,2023-03-07,2:45:00 PM,in between buoys,4,7.7,28.5,44560,44.55,29838,
EK,2023-03-07,2:45:00 PM,in between buoys,5,7.8,28.6,44675,44.67,29984,
EK,2023-03-07,2:45:00 PM,in between buoys,6,7.7,28.7,44800,44.8,29996,
EK,2023-03-07,2:45:00 PM,in between buoys,7,7.7,28.7,44887,44.88,30033,
EK,2023-03-07,2:45:00 PM,in between buoys,8,7.7,28.7,44888,44.89,30039,
EK,2023-03-07,2:45:00 PM,in between buoys,9,7.7,28.7,44879,44.88,30037,
EK,2023-03-07,2:45:00 PM,in between buoys,10,7.7,28.7,44878,44.88,30037,
EK,2023-03-09,10:35:00 AM,north buoy,0,7.5,28.4,44525,44.53,29664,
EK,2023-03-09,10:35:00 AM,north buoy,1,7.5,28.5,44535,44.55,29686,
EK,2023-03-09,10:35:00 AM,north buoy,2,7.5,28.6,44618,44.67,29734,
EK,2023-03-09,10:35:00 AM,north buoy,3,7.5,28.6,44762,44.75,29750,
EK,2023-03-09,10:35:00 AM,north buoy,4,7.5,28.6,44746,44.76,29765,
EK,2023-03-09,10:35:00 AM,north buoy,5,7.5,28.6,44800,44.8,29794,
EK,2023-03-09,10:35:00 AM,north buoy,6,7.5,28.6,44812,44.81,29815,
EK,2023-03-09,10:35:00 AM,north buoy,7,7.5,28.6,44809,44.81,29808,
EK,2023-03-09,10:35:00 AM,north buoy,8,7.5,28.7,44822,44.82,29828,
EK,2023-03-09,10:35:00 AM,north buoy,9,7.5,28.7,44855,44.86,29853,
EK,2023-03-09,10:35:00 AM,north buoy,10,7.5,28.7,44849,44.85,29850,
DX,2023-03-09,1:18:00 PM,south buoy,0,8,28.5,44459,44.47,29991,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,1,7.9,28.5,44606,44.58,30036,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,2,7.8,28.6,44690,44.69,29990,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,3,7.7,28.6,44751,44.75,29971,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,4,7.7,28.6,44774,44.77,29932,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,5,7.7,28.6,44771,44.78,29932,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,6,7.6,28.6,44756,44.75,29933,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,7,7.6,28.6,44770,44.77,29933,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,8,7.7,28.6,44763,44.76,29941,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,9,7.7,28.6,44766,44.77,29942,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-03-09,1:18:00 PM,south buoy,10,7.7,28.6,44766,44.77,29942,"Site depth here read as 4.7m on depth sounder, but YSI kept spooling out to 10m"
DX,2023-04-04,13:15,in between buoys,0,9.1,29.2,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,1,9,29.2,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,2,8.8,29.5,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,3,8.7,29.9,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,4,8.6,30.2,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,5,8.6,30.4,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,6,8.5,30.5,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,7,8.3,30.9,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,8,8.2,30.9,NR,NR,NR,used ysi that only returns temp and salinity
DX,2023-04-04,13:15,in between buoys,9,8.2,31,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,0,8.8,30.3,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,1,8.7,30.4,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,2,8.4,30.6,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,3,8.4,30.7,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,4,8.2,30.8,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,5,8.1,30.8,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,6,8.1,30.8,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,7,8.1,30.8,NR,NR,NR,used ysi that only returns temp and salinity
EK,2023-04-03,13:45,20 ft south of Lessard buoy,8,8.1,30.8,NR,NR,NR,used ysi that only returns temp and salinity
