"","monitoring_period","date","site","plot_id","treatment","replicate_number","tag_color","source_population","parent_number","observer","number_gravels_remaining","number_gravels_with_kelp","length_mm","holdfast_diameter_mm","urchins","notes","days_old","total_length_cm","parent_temp_days","site_temp_days","site_plot_id","site_replicate","transplant"
"1","first",2023-04-04,"warm","10C1","10C","1","green","cool","ten","Kristina Tietjen",20,13,56,NA,0,"","55",5.6,"ten_cool_55","warm_cool_55","warm_10C1","warm_1","warm_cool"
"2","first",2023-04-04,"warm","10C1","10C","1","green","cool","ten","Kristina Tietjen",20,13,64,NA,0,"","55",6.4,"ten_cool_55","warm_cool_55","warm_10C1","warm_1","warm_cool"
"3","first",2023-04-04,"warm","10C1","10C","1","green","cool","ten","Kristina Tietjen",20,13,76,NA,0,"","55",7.6,"ten_cool_55","warm_cool_55","warm_10C1","warm_1","warm_cool"
"4","first",2023-04-04,"warm","10C1","10C","1","green","cool","ten","Kristina Tietjen",20,13,79,NA,0,"","55",7.9,"ten_cool_55","warm_cool_55","warm_10C1","warm_1","warm_cool"
"5","first",2023-04-04,"warm","10C1","10C","1","green","cool","ten","Kristina Tietjen",20,13,129,NA,0,"","55",12.9,"ten_cool_55","warm_cool_55","warm_10C1","warm_1","warm_cool"
"6","first",2023-04-04,"warm","10W1","10W","1","red","warm","ten","Siobhan Gray",19,7,16,NA,0,"1 Astrea grazing on green gravel","55",1.6,"ten_warm_55","warm_warm_55","warm_10W1","warm_1","warm_warm"
"7","first",2023-04-04,"warm","10W1","10W","1","red","warm","ten","Siobhan Gray",19,7,17,NA,0,"1 Astrea grazing on green gravel","55",1.7,"ten_warm_55","warm_warm_55","warm_10W1","warm_1","warm_warm"
"8","first",2023-04-04,"warm","10W1","10W","1","red","warm","ten","Siobhan Gray",19,7,21,NA,0,"1 Astrea grazing on green gravel","55",2.1,"ten_warm_55","warm_warm_55","warm_10W1","warm_1","warm_warm"
"9","first",2023-04-04,"warm","10W1","10W","1","red","warm","ten","Siobhan Gray",19,7,34,NA,0,"1 Astrea grazing on green gravel","55",3.4,"ten_warm_55","warm_warm_55","warm_10W1","warm_1","warm_warm"
"10","first",2023-04-04,"warm","10W1","10W","1","red","warm","ten","Siobhan Gray",19,7,41,NA,0,"1 Astrea grazing on green gravel","55",4.1,"ten_warm_55","warm_warm_55","warm_10W1","warm_1","warm_warm"
