"","site","site_plot_id","replicate_number","treatment","source_population","parent_number","days_old","number_gravels_remaining","number_gravels_with_kelp","urchins","n","site_replicate","survival"
"1","cool","cool_10C1","1","10C","cool","ten","55",17,10,0,5,"cool 1",58.8235294117647
"2","cool","cool_10C1","1","10C","cool","ten","100",12,2,0,5,"cool 1",16.6666666666667
"3","cool","cool_10C1","1","10C","cool","ten","140",4,0,4,5,"cool 1",0
"4","cool","cool_10C1","1","10C","cool","ten","200",4,0,3,5,"cool 1",0
"5","cool","cool_10C2","2","10C","cool","ten","55",18,18,0,5,"cool 2",100
"6","cool","cool_10C2","2","10C","cool","ten","100",18,3,0,5,"cool 2",16.6666666666667
"7","cool","cool_10C2","2","10C","cool","ten","140",18,3,0,5,"cool 2",16.6666666666667
"8","cool","cool_10C2","2","10C","cool","ten","200",7,0,0,5,"cool 2",0
"9","cool","cool_10C3","3","10C","cool","ten","55",18,18,0,5,"cool 3",100
"10","cool","cool_10C3","3","10C","cool","ten","100",9,6,4,5,"cool 3",66.6666666666667
"11","cool","cool_10C3","3","10C","cool","ten","140",9,0,3,5,"cool 3",0
"12","cool","cool_10C3","3","10C","cool","ten","200",9,0,5,5,"cool 3",0
"13","cool","cool_10C4","4","10C","cool","ten","55",17,16,0,5,"cool 4",94.1176470588235
"14","cool","cool_10C4","4","10C","cool","ten","100",16,0,0,5,"cool 4",0
"15","cool","cool_10C4","4","10C","cool","ten","140",16,0,5,5,"cool 4",0
"16","cool","cool_10C4","4","10C","cool","ten","200",16,0,7,5,"cool 4",0
"17","cool","cool_10C5","5","10C","cool","ten","55",17,16,1,5,"cool 5",94.1176470588235
"18","cool","cool_10C5","5","10C","cool","ten","100",13,0,7,5,"cool 5",0
"19","cool","cool_10C5","5","10C","cool","ten","140",13,0,2,5,"cool 5",0
"20","cool","cool_10C5","5","10C","cool","ten","200",13,0,5,5,"cool 5",0
"21","cool","cool_10C6","6","10C","cool","ten","55",14,11,2,5,"cool 6",78.5714285714286
"22","cool","cool_10C6","6","10C","cool","ten","100",11,0,7,5,"cool 6",0
"23","cool","cool_10C6","6","10C","cool","ten","140",11,0,5,5,"cool 6",0
"24","cool","cool_10C6","6","10C","cool","ten","200",11,0,11,5,"cool 6",0
